Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
TOM YUM SOUP,V&A WATERFRONT,RAY BROWN,FORBIDDEN CITY,MICHAEL BUBLE,12.0,12.0,12.0,12.0,12.0
"[ONION, GARLIC, GINGER]",GONE WITH THE WIND,POKIMANE,LORD OF THE RINGS,PRINCESS MONONOKE,12.0,12.0,12.0,12.0,12.0
HENDRICK VERWOERD,QUEER EYE FOR THE STRAIGHT GUY,ATHLONE,STEVEN SPIELBERG,BUCHU,12.0,12.0,12.0,12.0,12.0
HAWKER,ITALY,GABORONE,MOUNT RUSHMORE,COST AN ARM AND A LEG,12.0,12.0,12.0,12.0,12.0
STONEHENGE,EMPANADAS,THE SCORPIONS,ADAM DRIVER,TONGA,12.0,12.0,12.0,12.0,12.0
DJIBOUTI,BERLIN WALL,PEWDIEPIE,CANBERRA,ALCHEMY,12.0,12.0,12.0,12.0,12.0
IBUPROFEN,OZZY OSBOURNE,UCHIHA SASUKE,ROYAL DUTCH SHELL,RENAISSANCE,12.0,12.0,12.0,12.0,12.0
KRYPTON,TOTO WOLF,E-READER,NAKED MOLE-RAT,ULURU,12.0,12.0,12.0,12.0,12.0
MONEX,VIRAT KOHLI,"HOOK, LINE, SINKER",VIRUS,ARDUINO,12.0,12.0,12.0,12.0,12.0
SILENCE OF LAMBS,OUROBOROS,MKBHD,GLACIER,CHRIS EVANS,11.0,11.0,11.0,11.0,11.0
TRENCH TOWN,MOSQUITO,PYRAMIDS OF GIZA,GREAT EXPECTATIONS,XI JINPING,11.0,11.0,11.0,11.0,11.0
"[MOUTH, EYES, NOSE]",ART BLAKEY,STARLINK,IDI AMIN,DOCSIDE,11.0,11.0,11.0,11.0,11.0
XHOSA,TRACK AND FIELD,CHEVRON ,LAMELO BALL,ERITREA,11.0,11.0,11.0,11.0,11.0
OXYGEN,FREAKONOMICS,FRACTALS,PALAU,ALPACA,11.0,11.0,11.0,11.0,11.0
SYNCHRONIZED SWIMMING,COLOR PURPLE,BETWEEN TWO WORLDS ,HIT THE NAIL ON THE HEAD,BISTRO,11.0,11.0,11.0,11.0,11.0
BLACKBERRY,HOʻOPONOPONO,NOEM MY SKOLLIE,STERLING GOLDEN,EK WIL HUIS TOE GAAN,11.0,11.0,11.0,11.0,11.0
FAUNA AND FLORA,RHODES MUST FALL,KOMODO DRAGON,TATTOOIST OF AUSCHWITZ,GAUSSIAN DISTRIBUTION,11.0,11.0,11.0,11.0,11.0
LAST CHRISTMAS,DOWN SECOND AVENUE,CHINA FLOODS,NEW ZEALAND,AGAPANTHUS,11.0,11.0,11.0,11.0,11.0
JUFFROU IS 'N MONSTER,MACHU PICCHU,LEMUR,KOREAN WAR,ZINEDINE ZIDANE,11.0,11.0,11.0,11.0,11.0
MONTENEGRO,CHICHEN ITZA,LET ME HOLD YOU DOWN,PARKOUR,BAFANA BAFANA,11.0,11.0,11.0,11.0,11.0
ULTIMATE FRISBEE,RAT KING,BARAKAT,MONACO,HUBBLE'S LAW,11.0,11.0,11.0,11.0,11.0
VALLEY OF THE END,CANOEING,CAPE PROTEA,SINKHOLE,MALDIVES,11.0,11.0,11.0,11.0,11.0
"[CUT, COPY, PASTE]",STENOGRAPHY,AL CAPONE,GOUDA,NAPOLEONIC WARS,11.0,11.0,11.0,11.0,11.0
"[EARTH, WIND, FIRE, WATER]",AXOLOTL,BUENOS AIRES,BRYAN HABANA,LUXEMBOURG,11.0,11.0,11.0,11.0,11.0
"LIONS, TIGERS, BEARS, OH MY!",STOCKHOLM,GAME THEORY,CHILLI POPPER,SISTINE CHAPEL,11.0,11.0,11.0,11.0,11.0
KENYA,BROMINE,SECRETARYBIRD,PANGEA,HOT SPRINGS,11.0,11.0,11.0,11.0,11.0
SHANE DAWSON,LAGOON,MY SISTER'S KEEPER,SILVERFISH,COLOSSEUM,11.0,11.0,11.0,11.0,11.0
LIGHTHOUSE,BLOBFISH,SEBASTIAN VETTEL,BLACKPINK,SHAQUILLE O'NEAL,11.0,11.0,11.0,11.0,11.0
DEVOPS,SUEZ CANAL,BETHLEHEM,QUANTUM COMPUTING,"GET LOW, GET LOW",11.0,11.0,11.0,11.0,11.0
EQUILIBRIUM,BOMBARDIER BEETLE,BUCKINGHAM PALACE,HEIDI,POCONO MOUNTAINS,11.0,11.0,11.0,11.0,11.0
PERKS OF BEING A WALLFLOWER,NAOMI OSAKA,THE TAJ MAHAL,ALICE’S ADVENTURES IN WONDERLAND,PAD THAI,11.0,11.0,11.0,11.0,11.0
JENNA MARBLES,GOLDFINCH,EDINBURGH,NAKED INSURANCE,ISRAEL,10.0,10.0,10.0,10.0,10.0
MANCHESTER,LORD OF THE FLIES,GETTYSBURG ADDRESS,WHITE RUSSIAN,ARAB SPRING,10.0,10.0,10.0,10.0,10.0
"[NOTES, CHORDS, SCALES]","THE LION, THE WITCH AND THE WARDROBE",UNITED KINGDOM,TITANIC,US ROUTE 66,10.0,10.0,10.0,10.0,10.0
