Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
JENNA MARBLES,ALICE’S ADVENTURES IN WONDERLAND,XI JINPING,MKBHD,KRYPTON,14.0,14.0,14.0,14.0,14.0
PEKING DUCK,PEWDIEPIE,MÖBIUS STRIP,MACHU PICCHU,VIRAT KOHLI,14.0,14.0,14.0,14.0,14.0
KANGAROO,SHANE DAWSON,FRANCOIS PIENAAR,ULURU,PRIDE AND PREJUDICE,12.0,12.0,12.0,12.0,12.0
SYNCHRONIZED SWIMMING,RAY BROWN,BUCHU,VISA,STENOGRAPHY,12.0,12.0,12.0,12.0,12.0
"[SHIRT, PANTS, JACKET]",STONEHENGE,SAN SALVADOR,KURT COBAIN,SAGO PUDDING,12.0,12.0,12.0,12.0,12.0
HIDDEN LEAF VILLAGE,HAWKER,MICHAEL SCHUMACHER,LIZA KOSHY,CANOEING,12.0,12.0,12.0,12.0,12.0
"[SWIM, JOG, CYCLE]",MASASHI KISHIMOTO,HOUSE OF HADES,UNITED KINGDOM,COMOROS,12.0,12.0,12.0,12.0,12.0
INDONESIA,OCELOT,HUBBLE'S LAW,SILENCE OF LAMBS,MONTENEGRO,12.0,12.0,12.0,12.0,12.0
SAPIENS,MEXICO CITY,ISIDINGO,KENYA,OBELISK,9.0,9.0,9.0,9.0,9.0
SPACE RACE,CAPE TOWN HARBOUR,WOLFGANG AMADEUS MOZART,PRAGUE,ANGLO AMERICAN,9.0,9.0,9.0,9.0,9.0
EGYPT,TRENCH TOWN,PANGOLIN,BOER WAR,FLINT,9.0,9.0,9.0,9.0,9.0
BLACK BEAUTY,GREECE,THE SHAH ,CALABASH,GEOMETRY,9.0,9.0,9.0,9.0,9.0
CROOKED KINGDOM,MOTHERWELL,PULP FICTION,NARNIA,RONDA ROUSEY,9.0,9.0,9.0,9.0,9.0
WHATSAPP,CAPE OF GOOD HOPE,OLIVER TWIST,DRIFTWOOD,KAI CENAT,9.0,9.0,9.0,9.0,9.0
EMPANADAS,NEW DELHI,FREEDOM CHARTER,MINNIE MOUSE,SECTION 33,9.0,9.0,9.0,9.0,9.0
SINKHOLE,DUNNING–KRUGER EFFECT,NEW ZEALAND,LIMPOPO,COLOSSEUM,9.0,9.0,9.0,9.0,9.0
SOFTSHELL TURTLE,STEP UP 4,PESTO,MARLON BRANDO,PRINCE WILLIAM,9.0,9.0,9.0,9.0,9.0
