Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Row
1984,Language and Literature ,Book,,,0,3
1 2 Step,Music,,,,1,5
2-factor authentication,Technology,,,,1,3
2008 Wall Street Crash,History,,,,0,2
30 Rock,TV Show,,,,1,1
30 seconds,Games,Boardgame,,1,1,2
3d printing,Technology,,,,0,1
7 cards,Games,,,,0,4
AB de Villiers,People and Characters,Cricket,,1,1,4
AL CAPONE,TV Show,,,,0,5
30 Seconds,Food and Drink,,,1,1,3
5g network,Technology,,,,1,5
7de Laan,TV Show,,,1,0,4
Marlon Brando,People and Characters,,,,0,1
AfrikaBurn,Events,,,1,1,4
Agapanthus,Nature,South Africa,,1,0,3
Ahmed Kathrada,People and Characters,Politician,,,1,1
AK-47,Things,,,,0,2
albaraka bank,Companies,,,1,1,2
American Civil War,History,,,,0,5
5 second rule,Games,Boardgame,,,1,3
African Wormwood,Nature,South Africa,,1,1,5
Ag nee man,Culture,South Africa,,1,1,4
agter 'n baard,Language and Literature ,Book,,1,0,1
Alabasta,Language and Literature ,Places,,,0,3
Alchemist,Language and Literature ,Book,,,0,4
American Pyscho,Movies,Indian,,,1,2
Anglo American Platinum,Companies,,,1,0,5
Ankara,Geography,Capital,,,1,1
Aristotle,People and Characters,,,,0,2
Adventure Time,TV Show,,,,1,3
Alan Turing,People and Characters,,,,0,3
Alhambra,Geography,Country,,,0,1
Alice’s Adventures in Wonderland,Language and Literature ,Book,,,1,4
Alisson Becker,People and Characters,Soccer,,,0,4
Altered Carbon,TV Show,,,,1,5
"Analogue, Digital",Technical,double,,,1,2
Anwar Sadat,People and Characters,Politician,,,1,1
artificial intelligence,Technology,,,,0,2
Asgard,Language and Literature ,Places,,,0,5
Albertina Sisulu,People and Characters,Politician,,,1,3
Alchemist,Language and Literature ,Book,,,0,3
All i want for christmas is you,Music,Lyrics,,,1,4
Alphabet,Companies,,,1,0,4
Amasie,Food and Drink,,,1,0,1
Andorra,Geography,,,,1,2
Apple,Companies,,,,1,5
Arnold Palmer,People and Characters,,,,1,1
babirusa,Animals,,,,0,2
"Black Skin, White Masks",Language and Literature ,Book,,,0,5
All Might,People and Characters,Anime,,,1,4
All single ladies,Music,Lyrics,,,1,3
Amazing Race,TV Show,,,,0,4
Angkor Wat,Geography,Landmarks,,,1,2
Anglo-Zulu War,History,South Africa,,,0,1
AT&T,Companies,,,,1,1
Athol Fugard,People and Characters,,,,1,5
Azkaban,Language and Literature ,Places,,,0,3
Bad Bunny,People and Characters,Music,Artist,,0,2
Boerewors,Food and Drink,,,1,0,5
AmaXhosa,Language and Literature ,,,1,1,4
and united we shall stand,Music,Lyrics,,1,1,3
Anunnaki,People and Characters,,,,0,1
Arab Springs,History,Event,,,0,4
Atomic Habits,Language and Literature ,Book,,,1,5
Aye-aye,Animals,,,,1,2
Backstage,TV Show,,,1,0,3
*Cooking*,Actions,,,,1,1
Bantu Land Act,History,Event,,1,0,2
Brandenburg Gate,Geography,Landmarks,,,0,5
American Idol,TV Show,,,,1,4
Aneesa's,Companies,,,1,1,3
Arduino,Companies,Technology,,,0,4
art blakey,People and Characters,Music,Artist,,0,1
Avatar Last Airbender,TV Show,,,,1,5
bang bang bang,Music,Lyrics ,triplets,,1,2
Barakat,Food and Drink,Meal,,1,0,2
Bhutan,Geography,Country,,,1,1
BlackBerry Bold,Technology,Things,,,0,3
British Petroleum Company,Companies,,,,0,5
American Revolutionary War,History,,,,1,4
Apple Bompi,Food and Drink,,,1,1,3
Arrested Development,TV Show,,,,0,4
Badminton,Sports,,,,0,1
Bayer AG,Companies,,,,0,2
Bayerische Motoren Werke,Companies,,,,1,2
Berlin Wall,Geography,Landmarks,,,1,5
Black Death,History,Event,,,1,1
Boston Massacre,History,,,,0,3
Burj Khalifa,Geography,Landmarks,,,0,5
Andon Cord,Things,,,,1,4
Asimbonanga,Music,,,,1,3
ball is in your court,Language and Literature ,,,,0,1
Becoming,Language and Literature ,Book,,,0,2
"Bet on it, bet on it",Music,Lyrics,,,1,2
Between Two Worlds ,Language and Literature ,Book,,,0,4
Black Mirror,TV Show,,,,1,5
*Break the ice*,Actions,,,,1,1
Bromine,Math and Science,,,,0,3
calabash,Nature,South Africa,,1,0,5
Axolotl,Animals,,,,1,4
"BAA, BAA, BLACK SHEEP",Music,Lyrics,,,1,3
Battlestar Galactica,TV Show,,,,0,1
Bidvest Group,Companies,,,,0,4
Big Bang Theory,TV Show,,,,1,2
Big Brother Nigeria,TV Show,,,,0,2
Blackpink,People and Characters,Music,Artist,,1,5
"Breakfast, Brunch, Dinner",Technical,triplets,,,1,1
Brunei,Geography,Country,,,0,3
Cape Town Dance Festival,Events,,,1,0,5
Banshee,TV Show,,,,1,4
Belize,Geography,Country,,,1,3
Bin Rashied,Companies,,,1,1,2
Bjorn Borg,People and Characters,,,,0,4
Black Death,TV Show,,,,0,2
Bleach,TV Show,Anime,,,0,1
"Blink, Wink",Technical,double,,,1,5
Buenos Aires,Geography,Capital,,,0,3
Buffalo Springfield,People and Characters,Music,Artist,,1,1
"Caterpillar, Cacoon, Butterfly",Technical,triplets,,,0,5
beautiful girl,Music,Lyrics,,,1,4
bethlehem,Geography,Landmarks,,,1,3
*Bite the bullet*,Actions,,,,1,2
Blink 182,People and Characters,Music,,,0,1
Bobotie,Food and Drink,,,1,1,5
BODMAS,Math and Science,,,,0,2
Bohemian Rhapsody,Movies,,,,0,4
*Snorkling*,Actions,,,,1,1
Calculus,Math and Science,,,,0,3
Cobalt,Math and Science,,,,0,5
Bern,Geography,Capital,,,1,4
Billie Jean,Music,Lyrics,,1,1,3
Blobfish,Animals,,,,0,1
body is a wonderland,Music,Lyrics,,,1,2
Boer War,History,South Africa,,1,0,2
BoJack Horseman,TV Show,,,,1,5
Burger's Daughter ,Language and Literature ,Book,,,1,1
California Gold Rush,History,,,,0,4
Charlize Theron,People and Characters,,,1,0,3
Coldplay,People and Characters,Music,,,0,5
best of both worlds,Music,,,,1,4
Blood Diamond,TV Show,,,,0,1
Boardwalk Empire,TV Show,,,,1,3
Boer maak 'n plan,Culture,,,1,1,2
Boondocks,TV Show,,,,0,2
Brenda Fassie,People and Characters,Music,,1,1,5
Call of Duty,Games,,,,1,1
Canoeing,Sports,,,,0,4
Chess Boxing,Sports,,,,0,3
Connect Four,Games,Boardgame,,,0,5
Big Mouth,TV Show,,,,1,4
Bobsleigh,Sports,,,,1,3
Boileroom,TV Show,,,,0,1
Bokke,Culture,,,1,1,2
Bratislava,Geography,Capital,,,0,2
Buchu,Nature,South Africa,,1,1,5
can't get you out of my head,Music,Lyrics,,,1,1
Capybara,Animals,,,,0,4
Chevron ,Companies,,,,0,3
Cost an arm and a leg,Language and Literature ,,,,0,5
Billie Jean King,People and Characters,,,,1,4
Boet,Culture,,,1,1,3
Bouldering,Sports,,,,0,1
brexit,History,,,,0,2
Buffy Vampire Slayer,TV Show,,,,1,5
Carte Blanche,TV Show,,,1,1,2
Castles of Burgundy,Games,,,,1,1
Charlotte’s Web,Language and Literature ,Book,,,0,4
Chilli Popper,Food and Drink,Meal,,1,0,3
Danja Sausage,Food and Drink,,,1,0,5
Blockchain,Technology,,,,1,4
Bokkoms,Food and Drink,,,1,1,3
Braaibroodjies,Food and Drink,,,1,0,1
Bucharest,Geography,Capital,,,0,2
Cape Town Klopse,Culture,,,1,1,5
Chakala,Food and Drink,,,1,1,2
Chichen Itza,Geography,Landmarks,,,0,4
Christopher Nolan,People and Characters,,,,0,3
"Clavicle, Scapula",Technical,double,,,1,1
Dark Souls,Games,,,,0,5
Boris Johnson,People and Characters,Politician,,,1,3
Breaking Bad,TV Show,,,,1,4
Brooklyn Nine-Nine,TV Show,,,,0,1
Buckingham Palace,Geography,Landmarks,,,0,2
"Capitalism, Socialism",Technical,double,,,1,5
Champagne papi,People and Characters,Music,Artist,,1,2
Clockwork Princess,Language and Literature ,Book,,,0,3
Color Purple,Language and Literature ,Book,,,0,4
Creed,Movies,,,,1,1
Die Afrikaanse Patriot,History,South Africa,,1,0,5
Braai Day,Events,Holidays,,1,1,3
BRIDGET JONES'S DIARY,Movies,,,,1,4
Cape Aloe,Nature,South Africa,,1,0,2
Cape Colony,History,South Africa,,1,0,1
Caracara,Music,Lyrics,,,1,5
Chanel,Companies,,,,1,2
COVID-19,History,Event,,,0,3
Cowboy Bebop,TV Show,Anime,,,0,4
Cristiano Ronaldo,People and Characters,,,1,1,1
Double Hotdog with wopper sauce,Food and Drink,,,1,0,5
*Exercising*,Actions,,,,1,4
Cape Verde,Geography,Country,,,0,2
careless whisper,Music,,,,1,3
Carpenters,People and Characters,Music,,,0,1
Chaos Theory,Math and Science,,,,0,5
Chicken Biltong,Food and Drink,,,1,1,2
crayfish curry,Food and Drink,Meal,,1,0,4
crazy eights,Games,,,,0,3
"Cut, Copy, Paste",Technical,triplets,,,1,1
Eid al-fitr,Events,,,,0,5
Caber Tossing,Sports,,,,1,4
"Celsius, Kelvin",Technical,double,,,0,2
cheese boy,Culture,,,1,1,3
Cheese rolling,Sports,,,,1,5
China Floods,History,Event,,,0,1
Chris Hani,People and Characters,Politician,,1,1,2
"Crouching Tiger, Hidden Dragon",Movies,,,,0,3
D-Day,History,,,,0,4
daltjies,Food and Drink,,,1,1,1
Eiffel Tower,Geography,Landmarks,,,0,5
Casey Neistat,People and Characters,Youtube,,1,1,4
