Word,Tag 1,Tag 2,Tag 3,South Africa,Colour
1984,Language and Literature ,Book,,,0
1 2 Step,Music,,,,1
2-factor authentication,Technology,,,,1
2008 Wall Street Crash,History,,,,0
30 Rock,TV Show,,,,1
30 seconds,Games,Boardgame,,1,1
3d printing,Technology,,,,0
5 second rule,Games,Boardgame,,,1
AB de Villiers,People and Characters,Cricket,,1,1
7de Laan,TV Show,,,1,0
Ahmed Kathrada,People and Characters,Politician,,,1
5g network,Technology,,,,1
Adventure Time,TV Show,,,,1
Alan Turing,People and Characters,,,,0
AfrikaBurn,Events,,,1,1
Agapanthus,Nature,South Africa,,1,0
Albertina Sisulu,People and Characters,Politician,,,1
AK-47,Things,,,,0
albaraka bank,Companies,,,1,1
American Civil War,History,,,,0
7 cards,Games,,,,0
African Wormwood,Nature,South Africa,,1,1
Ag nee man,Culture,South Africa,,1,1
agter 'n baard,Language and Literature ,Book,,1,0
Alabasta,Language and Literature ,Places,,,0
Alchemist,Language and Literature ,Book,,,0
American Psycho,Movies,Indian,,,1
Anglo American Platinum,Companies,,,1,0
Ankara,Geography,Capital,,,1
Alisson Becker,People and Characters,Soccer,,,0
AL CAPONE,TV Show,,,,0
All Might,People and Characters,Anime,,,1
Alhambra,Geography,Country,,,0
Alice’s Adventures in Wonderland,Language and Literature ,Book,,,1
Amish,People and Characters,,,,0
Altered Carbon,TV Show,,,,1
"Analogue, Digital",Technical,double,,,1
Anunnaki,People and Characters,,,,0
artificial intelligence,Technology,,,,0
AmaXhosa,Language and Literature ,,,1,1
Anwar Sadat,People and Characters,Politician,,,1
Arceus,People and Characters,Pokemon,,,0
All i want for christmas is you,Music,Lyrics,,,1
Alphabet,Companies,,,1,0
Amasie,Food and Drink,,,1,0
Andorra,Geography,,,,1
Apple,Companies,,,,1
Aristotle,People and Characters,,,,0
babirusa,Animals,,,,0
Asgard,Language and Literature ,Places,,,0
Arnold Palmer,People and Characters,,,,1
All the Single Ladies,Music,Lyrics,,,1
