Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length
"[Hypothesis, Methodology, Conclusion]",Technical,triplets,,,1,2,37
Harry Potter and the Sorcerer's Stone,Movies,,,,1,1,37
"the LION, the WITCH AND the WARDROBE",Language and Literature ,,,,0,2,36
The Subtle Art of Not Giving a F*ck,Language and Literature ,,,,0,1,35
"[Oxygen, Carbon Dioxide, Nitrogen]",Technical,triplets,,,0,2,34
"[Strawberry, Raspberry, Blueberry]",Technical,triplets,,,1,2,34
North Atlantic Treaty Organization,History,,,,1,3,34
Keeping Up with Kardashians,TV Show,,,,1,1,27
"[Caterpillar, Cocoon, Butterfly]",Technical,triplets,,,1,2,32
"[Introduction, Body, Conclusion]",Technical,triplets,,,1,2,32
Alice’s Adventures in Wonderland,Language and Literature ,Book,,,0,2,32
"Harder, Better, Faster, Stronger",Music,Lyrics,,,1,1,32
"Sugar, Spice and Everything Nice",Language and Literature ,,,,0,2,32
Tata ma chance! Tata ma millions,Culture,,,1,1,2,32
"What is love, baby don't hurt me",Music,Lyrics,,,0,2,32
"[Whatsapp, Facebook, Instagram]",Technical,triplets,,,0,2,31
All i want for christmas is you,Music,Lyrics,,,1,2,31
High school musical 3,Movies,,,,0,1,21
Beauty and the Beast,Movies,,,,1,1,20
Running of the Bulls (Pamplona),Events,,,,1,3,31
Long Walk to Freedom,Movies,South Africa,,1,1,1,20
The Umbrella Academy,TV Show,,,,1,1,20
university of the western cape,Geography,Places,,1,0,1,30
"You Are My Fire, My One Desire",Music,Lyrics,,,1,2,30
Slumdog Millionaire,Movies,,,,0,1,19
can't get you out of my head,Music,Lyrics,,,1,2,28
Hitchhiker's Guide to Galaxy,Language and Literature ,Book,,,1,2,28
"I'm blue, da ba dee da ba di",Music,Lyrics,,1,1,1,28
"Lions, Tigers, Bears, Oh My!",Language and Literature ,,,,0,2,28
"[English, Afrikaans, Xhosa]",Technical,triplets,,,0,1,27
"[Morning, Afternoon, Night]",Technical,triplets,,,0,1,27
"[Proton, Neutron, Electron]",Technical,triplets,,,0,2,27
"[Vampire, Werewolf, Zombie]",Technical,triplets,,,1,2,27
The Little Mermaid,Movies,,,,1,1,18
Let the cat out of the bag ,Language and Literature ,,,,0,2,27
Perks of being a wallflower,Language and Literature ,Book,,,0,3,27
"[Breakfast, Lunch, Dinner]",Technical,triplets,,,1,1,26
"[Circle, Square, Triangle]",Technical,triplets,,,1,1,26
"[Earth, Wind, Fire, Water]",Technical,triplets,,,0,2,26
"[Notebook, Diary, Journal]",Technical,triplets,,,1,3,26
it's too late to apologize,Music,Lyrics,,,0,1,26
Martin Luther King Jr. Day,Events,,,,0,2,26
See both sides like Chanel,Music,Lyrics,,,1,2,26
"[Lemon, Orange, Mandarin]",Technical,triplets,,,0,2,25
and united we shall stand,Music,Lyrics,,1,1,1,25
Global Positioning System,Technology,,,,1,2,25
"We will, we will rock you",Music,Lyrics,,,1,1,25
"[Laugh, Giggle, Snicker]",Technical,triplets,,,0,3,24
Bohemian Rhapsody,Movies,Music,,,0,1,17
Cape Town Dance Festival,Events,,,1,1,2,24
"Father, Son, Holy Spirit",Language and Literature ,triplets,,,0,1,24
Hit the nail on the head,Language and Literature ,,,,0,2,24
discovery channel,TV Show,,,,1,1,17
I wanna be a billionaire,Music,Lyrics,,,1,1,24
"Kaptein, van die sailor ",Music,Lyrics,,1,1,1,24
"[Notes, Chords, Scales]",Technical,triplets,,,0,3,23
"[Onion, Garlic, Ginger]",Technical,triplets,,,1,2,23
