Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
CONNECT FOUR,TRIVIAL PURSUIT,SUPER MARIO BROS.,DOOM,LOGAN PAUL,9.0,9.0,9.0,9.0,9.0
AUDREY HEPBURN,SARAFINA,HELEN ZILLE,BIG BANG THEORY,PARTY IN THE USA,9.0,9.0,9.0,9.0,9.0
PRESSURE COOKER,LIONEL MESSI,FOSSA,ALADDIN,DEMON SLAYER,9.0,9.0,9.0,9.0,9.0
FIJI,*PAINTING*,LONG WALK TO FREEDOM,ST. PATRICK'S DAY,DAY OF THE DEAD,9.0,9.0,9.0,9.0,9.0
BOSTON,ARTIFICIAL INTELLIGENCE,FERNANDO ALONSO,CLUEDO,LEBRON JAMES,9.0,9.0,9.0,9.0,9.0
FYNBOS,ARMADILLO,HOPSCOTCH,KITE RUNNER,SHAKA,9.0,9.0,9.0,9.0,9.0
CHEERS,RAINFOREST,LITTLE PRINCE,SACHIN TENDULKAR,COSATU,9.0,9.0,9.0,9.0,9.0
THE LEGEND OF ZELDA,PLUTO,PARKS AND RECREATION,SHARPEVILLE,PIKACHU,9.0,9.0,9.0,9.0,9.0
EUPHORIA,NOKIA 3310,HOW TO TRAIN YOUR DRAGON,SILENT NIGHT,PORTISHEAD,9.0,9.0,9.0,9.0,9.0
DEATH STAR,SAY MA NOW,TSOTSI,PERLEMOEN,*HITCHHIKING*,9.0,9.0,9.0,9.0,9.0
EINA MALÈNA,3D PRINTING,NKOSI,FROZEN,STOKVEL,9.0,9.0,9.0,9.0,9.0
CHALTE CHALTE,UNITED NATIONS,SANGOMA,SAFFRON,COLDPLAY,9.0,9.0,9.0,9.0,9.0
GAME OF THRONES,WIMPY,SKY NEWS,XQC,MARNUS LABUSCHAGNE,9.0,9.0,9.0,9.0,9.0
HOWL'S MOVING CASTLE,TKZEE,PADKOS,LEKKER,TAEKWONDO,9.0,9.0,9.0,9.0,9.0
HOUSE OF CRONIES,SAMUEL L. JACKSON,ZUCCHINI,VOETSTOOTS,BARBECUE,9.0,9.0,9.0,9.0,9.0
MOHAMED SALAH,DROP IT LIKE IT'S HOT,WOOLWORTHS,COWBOY BEBOP,HERITAGE DAY ,9.0,9.0,9.0,9.0,9.0
KAYTRANADA,MADONNA,STAR TREK,ORPHAN BLACK,SCORPIONS,9.0,9.0,9.0,9.0,9.0
DEVIL WEARS PRADA ,WESTWORLD,THE ELDER SCROLLS,*SURFING*,BIG BROTHER,9.0,9.0,9.0,9.0,9.0
PEPPERMINT CRISP,ISIBINDI,TETRIS,MAGIC JOHNSON,MRS BALL'S,9.0,9.0,9.0,9.0,9.0
MEXICO,5 SECOND RULE,BLACK DEATH,SUPEREGO,JOE ROGAN PODCAST,9.0,9.0,9.0,9.0,9.0
