1,2,3,4,5
"[VAMPIRE, WEREWOLF, ZOMBIE]",SOUTH AFRICA,KYLIAN MBAPPÉ,CREED,KOMBI
"[FIRST, SECOND, THIRD]",CHICHEN ITZA,ARISTOTLE,BLOBFISH,ERICAS
"[FORK, SPOON, KNIFE]",NAURU,UNO,IBUPROFEN,BATTLESTAR GALACTICA
"[PARK, NEUTRAL, DRIVE]",ORANIA,THE PUSSYCAT DOLLS,DOOM,5 LOVE LANGUAGES
"[CHAIR, COUCH, BENCH]",PAC-MAN,FINDING NEMO,CHRISTOPHER NOLAN,MUVHANGO
"[GLUE, TAPE, STAPLER]",YASIS,I'M EVERY WOMEN,NEON GENESIS EVANGELION,HILLSONG CHURCH
"[INTRODUCTION, BODY, CONCLUSION]",ZAPIRO,ROCKY AUR RANI KI PREM KAHANI,DONALD BRADMAN,PRONUTRO
"[BREAKFAST, LUNCH, DINNER]",HOLOCAUST,RYAN HIGA,ANDON CORD,NARCOS
"[STRAWBERRY, RASPBERRY, BLUEBERRY]",EVERY BREATH YOU TAKE,CALIGULA,SILENT NIGHT,GETTYSBURG ADDRESS
"[SHIRT, PANTS, JACKET]",TOY STORY,PORTISHEAD,"I'M BLUE, DA BA DEE DA BA DI",CAPE TOWN KLOPSE
"[ONION, GARLIC, GINGER]",KFC,SHERLOCK,SCOOBY-DOO,LET IT BURN
"[CIRCLE, SQUARE, TRIANGLE]",WATCH ME NAE NAE,ANEESA'S,ALL I WANT FOR CHRISTMAS IS YOU,BUFFALO SPRINGFIELD
"[VINEGAR, BAKING SODA]",HELEN SUZMAN,PEGASUS SPYWARE,REQUIEM FOR A DREAM ,BOKKOMS
"[CATERPILLAR, COCOON, BUTTERFLY]",VAPE,CAPITEC,BAD BUNNY,THANKSGIVING
"[NOTEBOOK, DIARY, JOURNAL]",BUENOS AIRES,FREDERICK CARLTON LEWIS,KAYTRANADA,SLAUGHTERHOUSE-FIVE
"[RED, GREEN, YELLOW]",JUMPER,GEES,SHAKA,HURT SO BAD 
"[HYPOTHESIS, METHODOLOGY, CONCLUSION]",DISTRICT 9,HONDA,BREAKING BAD,AT&T
"[PAPER, ROCK, SCISSORS]",VEEP,TIM BERNERS-LEE,SANTIAGO,YESTERDAY
