Card,Row,Word,Tag 1,Colour,Difficulty,Length,Difficulty_total
1,1,"WP, JOU LEKKER DING",Culture,1,1.0,19.0,9.0
1,5,SEE BOTH SIDES LIKE CHANEL,Music,1,2.0,26.0,9.0
1,2,RED ROVER,Games,1,2.0,9.0,9.0
1,4,INSIDE OUT,Movies,1,2.0,10.0,9.0
1,3,CHAKALAKA,Food and Drink,1,2.0,9.0,9.0
2,1,YAMAHA,Companies,1,2.0,6.0,9.0
2,5,NADINE GORDIMER,People and Characters,1,2.0,15.0,9.0
2,2,TALIEP PETERSEN,People and Characters,1,2.0,15.0,9.0
2,3,THANKSGIVING,Events,1,1.0,12.0,9.0
2,4,DRICUS DU PLESSIS,People and Characters,1,2.0,17.0,9.0
3,4,HANUKKAH,Events,1,2.0,8.0,7.0
3,3,"KAPTEIN, VAN DIE SAILOR ",Music,1,1.0,24.0,7.0
3,1,MRS BALL'S,Food and Drink,1,1.0,10.0,7.0
3,2,EGOLI,Geography,1,2.0,5.0,7.0
3,5,UBUNTU,Culture,1,1.0,6.0,7.0
4,2,CHEDDAR CHEESE,Food and Drink,1,1.0,14.0,6.0
4,3,*EXERCISING*,Actions,1,1.0,12.0,6.0
4,5,BREAKING BAD,TV Show,1,1.0,12.0,6.0
4,1,NETCARE,Companies,1,2.0,7.0,6.0
4,4,SWISS ARMY KNIFE,Things,1,1.0,16.0,6.0
5,3,VLADIMIR LENIN,People and Characters,1,2.0,14.0,9.0
5,4,LIONEL MESSI,People and Characters,1,1.0,12.0,9.0
5,1,*KNITTING*,Actions,1,2.0,10.0,9.0
5,2,BALKAN WARS,History,1,3.0,11.0,9.0
5,5,JURASSIC PARK,Movies,1,1.0,13.0,9.0
6,5,GRAND THEFT AUTO,Games,1,2.0,16.0,8.0
6,2,METAL GEAR SOLID,Games,1,3.0,16.0,8.0
6,3,EUPHORIA,TV Show,1,1.0,8.0,8.0
6,1,CRICKET,Sports,1,1.0,7.0,8.0
6,4,THE UMBRELLA ACADEMY,TV Show,1,1.0,20.0,8.0
7,2,MASCARA,Things,1,1.0,7.0,6.0
7,5,BOET,Culture,1,1.0,4.0,6.0
7,1,COLDPLAY,People and Characters,1,2.0,8.0,6.0
7,3,PIKACHU,People and Characters,1,1.0,7.0,6.0
7,4,FIGHT CLUB,Movies,1,1.0,10.0,6.0
8,3,OCEAN BASKET,Companies,1,1.0,,8.0
8,4,COMMONWEALTH GAMES,Events,1,2.0,18.0,8.0
8,5,BLOOD DIAMOND,Movies,1,2.0,13.0,8.0
8,1,PRONUTRO,Food and Drink,1,2.0,8.0,8.0
8,2,TAMAGOTCHI,Things,1,1.0,10.0,8.0
9,3,CHICKEN BILTONG,Food and Drink,1,1.0,15.0,11.0
9,5,ALTERED CARBON,TV Show,1,3.0,14.0,11.0
9,1,3D PRINTING,Technology,1,2.0,11.0,11.0
9,2,GRAND BUDAPEST HOTEL,Movies,1,3.0,20.0,11.0
9,4,BUFFY THE VAMPIRE SLAYER,TV Show,1,2.0,24.0,11.0
10,4,STERI STUMPIE,Food and Drink,1,1.0,13.0,9.0
10,1,CHRIS PRATT,People and Characters,1,2.0,11.0,9.0
10,3,BENEDICT CUMBERBATCH,People and Characters,1,3.0,20.0,9.0
10,2,SLACK,Companies,1,2.0,5.0,9.0
10,5,AMERICAN FOOTBALL,Sports,1,1.0,17.0,9.0
11,1,SURVIVOR,TV Show,1,1.0,8.0,8.0
11,2,"WHAT IS LOVE, BABY DON'T HURT ME",Music,1,2.0,32.0,8.0
11,3,MAKE THE CIRCLE BIGGER,Culture,1,2.0,22.0,8.0
11,5,DANNY K,People and Characters,1,2.0,7.0,8.0
11,4,BIG BANG THEORY,TV Show,1,1.0,15.0,8.0
12,4,KEANU REEVES,People and Characters,1,1.0,12.0,8.0
12,5,HOCKEY,Sports,1,1.0,6.0,8.0
12,3,ABACUS,Math and Science,1,1.0,6.0,8.0
12,1,FRESHLYGROUND,People and Characters,1,2.0,13.0,8.0
12,2,BATTLESTAR GALACTICA,TV Show,1,3.0,20.0,8.0
13,5,TOM HANKS,People and Characters,1,2.0,9.0,9.0
13,3,*SHOOTING*,Actions,1,1.0,10.0,9.0
13,1,SAUDI ARAMCO,Companies,1,3.0,12.0,9.0
13,4,FEAR FACTOR,TV Show,1,1.0,11.0,9.0
13,2,MAD MEN,TV Show,1,2.0,7.0,9.0
14,1,VOETSTOOTS,Culture,1,2.0,10.0,9.0
14,2,HERITAGE DAY ,Events,1,2.0,13.0,9.0
14,5,JOHNNY CLEGG,People and Characters,1,1.0,12.0,9.0
14,3,IN THE MEANTIME,Music,1,2.0,15.0,9.0
14,4,THE WIRE,TV Show,1,2.0,8.0,9.0
15,3,BENNI MCCARTHY,People and Characters,1,2.0,14.0,9.0
15,4,SAY MY NAME,Music,1,2.0,11.0,9.0
15,2,THE SUPER BOWL,Events,1,1.0,14.0,9.0
15,1,OLIVER TAMBO,People and Characters,1,2.0,12.0,9.0
15,5,SHAKA,People and Characters,1,2.0,5.0,9.0
16,5,INDEPENDENCE DAY,Events,1,2.0,16.0,9.0
16,1,TURING MACHINE,Math and Science,1,3.0,14.0,9.0
16,3,SLOTH,Animals,1,1.0,5.0,9.0
16,4,PARASITE,Movies,1,2.0,8.0,9.0
16,2,SHREK 3,Movies,1,1.0,7.0,9.0
17,4,GUY FAWKES ,Events,1,1.0,11.0,9.0
17,1,GRAVE OF THE FIREFLIES,Movies,1,3.0,22.0,9.0
17,2,PEARL HARBOUR,Events,1,1.0,13.0,9.0
17,5,SMALLVILLE,TV Show,1,2.0,10.0,9.0
17,3,LET THE RIGHT ONE IN,Movies,1,2.0,20.0,9.0
18,4,UP THE CREEK,Events,1,3.0,12.0,13.0
18,2,CONNECT FOUR,Games,1,2.0,12.0,13.0
18,3,TRIVIAL PURSUIT,Games,1,3.0,15.0,13.0
18,1,THE LEGEND OF ZELDA,Games,1,3.0,19.0,13.0
18,5,KWAITO,Culture,1,2.0,6.0,13.0
19,2,"BAA, BAA, BLACK SHEEP",Music,1,1.0,21.0,9.0
19,4,ROSH HASHANAH,Events,1,3.0,13.0,9.0
19,1,SWEET CAROLINE,Music,1,1.0,14.0,9.0
19,3,BOONDOCKS,TV Show,1,2.0,9.0,9.0
19,5,CALCULUS,Math and Science,1,2.0,8.0,9.0
20,3,EGG FRIED RICE,Food and Drink,1,2.0,14.0,9.0
20,1,GODS MUST BE CRAZY,Movies,1,2.0,18.0,9.0
20,4,HILLSONG CHURCH,Geography,1,2.0,15.0,9.0
20,2,KITE RUNNER,Language and Literature ,1,2.0,11.0,9.0
20,5,*FLYING*,Actions,1,1.0,8.0,9.0
21,1,RISK,Games,1,2.0,4.0,10.0
21,2,PAUL LEVESQUE,People and Characters,1,2.0,13.0,10.0
21,5,"I'M BLUE, DA BA DEE DA BA DI",Music,1,1.0,28.0,10.0
21,3,PICKLEBALL,Sports,1,2.0,10.0,10.0
21,4,THE WITCHER,Games,1,3.0,11.0,10.0
22,4,WEST WING,TV Show,1,3.0,9.0,12.0
22,5,DUNE 2,Movies,1,1.0,6.0,12.0
22,2,CHALTE CHALTE,Movies,1,3.0,13.0,12.0
22,3,CRAZY EIGHTS,Games,1,2.0,12.0,12.0
22,1,FARGO,TV Show,1,3.0,5.0,12.0
23,1,BAKKIE,Things,1,1.0,6.0,6.0
23,3,I WANNA BE A BILLIONAIRE,Music,1,1.0,24.0,6.0
23,5,PURSUIT OF HAPPYNESS,Movies,1,2.0,20.0,6.0
23,4,DOOM,Games,1,1.0,,6.0
23,2,MADONNA,People and Characters,1,1.0,7.0,6.0
24,2,Y2K,History,1,2.0,3.0,9.0
24,3,EMPIRE STATE BUILDING,Geography,1,1.0,21.0,9.0
24,4,SAITAMA,People and Characters,1,3.0,7.0,9.0
24,1,NOKIA ,Companies,1,1.0,,9.0
