Card,1,2,3,4,5
19,NELLY FURTADO,MEXICAN WAVE*,MRBEAST,LAAITIE,LUCKY STAR
28,BREAK THE ICE*,"BET ON IT, BET ON IT",ASIMBONANGA,ANDON CORD,BLACK MIRROR
33,SNORKLING*,BITE THE BULLET*,BETHLEHEM,BEAUTIFUL GIRL,BOBOTIE
40,COOKING FOOD*,AYE-AYE,AND UNITED WE SHALL STAND,AMAXHOSA,ATOMIC HABITS
44,SURFING*,TALIEP PETERSEN,SKEEM SAAM,SURVIVOR SERIES,SPIKE SPIEGEL
47,ROYAL DUTCH SHELL,"RED, GREEN, YELLOW",RAY TRACING,RISK,PAINTING*
49,JAKARTA,HIDE AND SEEK,HAKUNA MUTATA,GLOBAL POSITIONING SYSTEM,FLYING*
51,IT'S TOO LATE TO APOLOGIZE,HERMANUS WHALE FESTIVAL,GUYANA,GLASSBLOWING*,FIREFLY
55,"CUT, COPY, PASTE",CHICKEN BILTONG,CARELESS WHISPER,WORKING OUT*,CHAOS THEORY
57,RUNNING*,RIVONIA TRIAL,"READY, SET, GO",SALAAM MALAYKOM,"PARK, NEUTRAL, DRIVE "
69,TYPING ON KEYBOARD*,THE ELDER SCROLLS V,"SWIM, JOG, CYCLE",TATJANA SMITH,TAKING PHOTOS*
74,DRAGONBALL DURAG,CHURROS,COMPLEX NUMBERS,CASSPER NYOVEST,WALKING UP STAIRS*
82,TRIATHLON,TETRIS,STEVEN SPIELBERG,TABLE MOUNTAIN DASSIE,SWEEPING THE FLOOR*
83,MARNUS LABUSCHAGNE,LOUIS VUITTON,"LIONS, TIGERS, BEARS",KING OF HILL,KNITTING*
94,"VINEGAR, BAKING SODA",WATERING THE PLANTS*,TREVOR NOAH,TWISTER,ULTIMATE FRISBEE
104,WASHING THE DISHES*,WITCHER,TRIVIAL PURSUIT,VIRTUAL PRIVATE NETWORK,VIRAT KOHLI
