1,2,3,4,5
FEAR FACTOR,US ROUTE 66,UP THE CREEK,KIRIBATI,LUCIANO PAVAROTTI
DIE HARD,GRAND CANYON,HAPPY BIRTHDAY TO YOU,TOM BRADY,PHILADELPHIA
SAGO PUDDING,HOUSE OF HADES,WAYDE VAN NIEKERK,SASUKE UCHIHA,CHRISTOPHER NOLAN
SISTINE CHAPEL,MZOLI'S,GEORGE HERMAN RUTH,CHARLIZE THERON,SOVIET UNION
MIKE TYSON,SLASH,MARIE CURIE,OLD FASHIONED,PEARL HARBOR
"ZULU, XHOSA, SOTHO",MONEX,SAM SMITH,TOKOLOSHI,AMERICAN CIVIL WAR
FREAKONOMICS,I'M EVERY WOMEN,MASSMART,ALHAMBRA,QUIDDITCH
MONKEY D. LUFFY,CAPE TOWN DANCE FESTIVAL,UMLUNGU,GABORONE,NADIA COMANECI
TAKKIES,ERLING HAALAND,CALCULUS,BADMINTON,CHARLOTTE’S WEB
CALIFORNIA GOLD RUSH,SETTLERS OF CATAN,OPPIKOPPI,LET THE CAT OUT OF THE BAG ,BOHEMIAN RHAPSODY
TALKING TO THE MOON,WINSTON CHURCHILL,ZEF,SECRETARYBIRD,LIECHTENSTEIN
DIARY OF A WIMPY KID,NAKED MOLE-RAT,GRILLERS,AMAZING RACE,AK-47
CHALTE CHALTE,DEEZER,LANCE ARMSTRONG,PSYCHO,ASGARD
"MEOW, MEOW, MEOW",DOWN SECOND AVENUE,PRAGUE,BREXIT,MOTHER TERESA
V&A WATERFRONT,DALA WHAT YOU MUST,THERMODYNAMICS,POKÉMON RED,WORLD WIDE WEB
BANTU LAND ACT,BIDVEST GROUP,FLEABAG,I WANNA BE A BILLIONAIRE,V FOR VENDETTA
JUFFROU IS 'N MONSTER,YOUNGSTACPT,HOPSCOTCH,RAFAEL NADAL,"CATERPILLAR, COCOON, BUTTERFLY"
RICK AND MORTY,LEVI ACKERMAN,FERNANDO ALONSO,BIG BROTHER NIGERIA,MOTHERWELL
ONE FLEW OVER THE CUCKOO’S NEST,STONE COLD STEVE AUSTIN,POTALA PALACE,HALF-LIFE 2,ALCHEMIST
TRUE DETECTIVE,BECOMING,NEIL ARMSTRONG,ELECTROMAGNETISM,DAVID DOBRIK
PAIN AND GLORY,SHAQUILLE O'NEAL,SOMALIA,JERRY RICE,ALAN TURING
NASPERS,SHISA NYAMA,TAEKWONDO,BOER WAR,SOCRATES
SHARPEVILLE MASSACRE,MANTIS SHRIMP,BODMAS,ON-ON,SANGOMA
JOSEPH CLIFFORD MONTANA,BETWEEN TWO WORLDS ,WE ARE THE CHAMPIONS,"HYPOTHESIS, CONCLUSION",CRAZY EIGHTS
"ORANJE, BLANJE, BLOU",DIGITAL TWINS,SON GOKU,PENNSYLVANIA,KHABIB NURMAGOMEDOV
HENRY LOUIS AARON,DISGRACE,DOWNTON ABBEY,"VAMPIRE, WEREWOLF, ZOMBIE",GOOD PLACE
SOFTSHELL TURTLE,TERRACOTTA ARMY,PANGEA,TV LICENSE,BROMINE
NVIDIA ,COVID-19,POCONO MOUNTAINS,VICTORIA FALLS,COWBOY BEBOP
OTTAWA,BLOOD DIAMOND,ROBERT MUGABE,THOMAS EDISON,DARK KNIGHT TRILOGY
JACKSEPTICEYE,FOSCHINI GROUP,TOYOTA HILUX BAKKIE,NETFLIX,MINECRAFT
TYMEBANK,KRYPTON,FOSSA,BOSTON MASSACRE,BOEREWORS
YMCA,"BLACK SKIN, WHITE MASKS",ONE-TIME PASSWORD,COLDPLAY,CRUSADES
PRINCESS LEIA,BALL IS IN YOUR COURT,"I'M BLUE, DA BA DEE DA BA DI",SADDAM HUSSEIN,KAKAPO
DARK SOULS,GREAT BARRIER REEF,POKIMANE,FRACTALS,HIROSHIMA
MARIKANA MASSACRE,HOʻOPONOPONO,"EARTH, WIND AND FIRE",WELLINGTON,HUNGER GAMES
BABIRUSA,BURJ KHALIFA,COBALT,BRUNEI,TRIFLE
3D PRINTING,GOLDEN GATE BRIDGE,MOUNT RUSHMORE,SHINJI IKARI,PYTHAGOREAN THEOREM
LITTLE PRINCE,SCELETIUM,OKAPI,ISIDINGO,ELECTRIC DAISY CARNIVAL
PLATYPUS,BROOKLYN NINE-NINE,BAD BUNNY,STRANGER THINGS,MICHAEL JORDAN
YEBO YES,"METAPHOR, SIMILE",Y2K,RONDA ROUSEY,SCORPIONS
KANTO EARTHQUAKE,BATTLESTAR GALACTICA,MARK SHUTTLEWORTH,PANGOLIN,SIMPSONS
GRAÇA MACHEL,MACBETH,PALACE OF VERSAILLES,ORODRUIN,ART BLAKEY
NORTH ATLANTIC TREATY ORGANIZATION,EULER'S IDENTITY,MIXED MARTIAL ARTS,FIGHT CLUB,DIWALI
RYAN HIGA,PINA COLADA,PETRA,CHICHEN ITZA,THE LEGEND OF ZELDA
SISTERHOOD OF THE TRAVELING PANTS,DRIFTWOOD,TANJIRO KAMADO,CRAYFISH CURRY,QUEER EYE FOR THE STRAIGHT GUY
PEP STORES,BOILEROOM,NAPOLEONIC WARS,ZINEDINE ZIDANE,MADAM & EVE
MELKTERT,X-FILES,ECHIDNA,KOOS BEKKER,TANGSHAN EARTHQUAKE
FREDERICK CARLTON LEWIS,RONDAVEL,SHENZHEN,HULU,STARLINK
EIFFEL TOWER,BRAAIBROODJIES,TIRAMISU,LORD OF THE RINGS,GONE WITH THE WIND
LINE OF DUTY,OUAGADOUGOU,7DE LAAN,WORCESTERSHIRE SAUCE,OPPENHEIMER
CHEMOTHERAPY,CHINA FLOODS,TRENCH TOWN,SIMONE BILES,LIBERATION DAY
XI JINPING,COST AN ARM AND A LEG,CHAPPIES BUBBLE GUM,IKIGAI,FAULT IN OUR STARS
HOUSE OF CARDS,SEINFELD,KOREAN WAR,ROBOT,CHESS BOXING
FAUNA AND FLORA,"OXYGEN, CARBON DIOXIDE",DOUBLE HOTDOG WITH WHOPPER SAUCE,CAPYBARA,"WIN, LOSE, DRAW"
GOLDEN RATIO,FRENCH REVOLUTION,PERLEMOEN,PHUMAKIM,EID AL-FITR
FIBONACCI SEQUENCE,ZINC,SÃO TOMÉ AND PRÍNCIPE,JÄGERBOMB,MORSE CODE
ST. PATRICK'S DAY,SERGIO MENDEZ,PILLOW FIGHTING,DE ORANJES,THE LAST OF US
STAR-NOSED MOLE,FAMILY GUY,PALAU,REQUIEM FOR A DREAM ,NOVAK DJOKOVIC
AL CAPONE,MUAMMAR GADDAFI,"WE WILL, WE WILL ROCK YOU",STONEHENGE,MAGIC JOHNSON
"GET LOW, GET LOW",TWO OCEANS MARATHON,PARKS AND RECREATION,TYLA SEETHAL,SAN SALVADOR
NAGASAKI,CLOCKWORK PRINCESS,HENDRICK VERWOERD,CONNECT FOUR,GREAT DEPRESSION
PANG DOODMAAK,FREEDOM CHARTER,KYIV,1984,SOUTH PARK
METAL GEAR SOLID,HITCHHIKER'S GUIDE TO GALAXY,STEP BROTHERS ,VOICE,AGTER 'N BAARD
NAURU,LIONEL MESSI,LET THE RIGHT ONE IN,ARCEUS,PARASITE
"HARDER, BETTER, FASTER, STRONGER",JON JONES,LIGHT YAGAMI,SLAUGHTERHOUSE-FIVE,SUEZ CANAL
WHISKEY SOUR,FRAPPUCCINO,BUCHAREST,HOW TO TRAIN YOUR DRAGON,GREAT EXPECTATIONS
UMHLANGA ROCKS,VALLEY OF THE END,VANUATU,GOODFELLAS,GENERAL THEORY OF RELATIVITY
ANGLO AMERICAN PLATINUM,ERITREA,FAHRENHEIT 451,I HAVE A DREAM,IN THE MEANTIME
DONALD BRADMAN,ORANJE,LIZA KOSHY,LION'S EAR,INSIDE OUT
SPACE RACE,PYRAMIDS OF GIZA,DUNE,ALISSON BECKER,FORBIDDEN CITY
PATRICIA DE LILLE,MOUNT FUJI,2008 WALL STREET CRASH,NEWTON'S SECOND LAW,FREE STATE
PURSUIT OF HAPPYNESS,I WANT TO BREAK FREE,IPHONE SE,EPSTEIN ISLAND,DJANGO UNCHAINED
