,1,2,3,4,5
20,PADKOS,LETS GO 50 50 ,VIRAT KOHLI,BAYERISCHE MOTOREN WERKE,JUST KEEP SWIMING
21,ROBSON WALTON,COMPLEX NUMBERS,"QUACK, QUACK, QUACK","BLINK, WINK",NARNIA
22,SAITAMA,PRIDE AND PREJUDICE,KIMCHI,MZANZI FO SHO,LIKE A G6
23,LIZZIE MAGIE,"STRAWBERRY, RASPBERRY, BLUEBERRY",CROOKED KINGDOM,WOODEN SPOON,MICRONESIA
24,JOHANN RUPERT,"GLUE, TAPE, STAPLER",DURAN DURAN,ALL SINGLE LADIES,ALL MIGHT
25,ARNOLD PALMER,SASHIMI,CTEMF,5 SECOND RULE,NOKIA 3310
26,CHAMPAGNE PAPI,TIM BERNERS-LEE,30 SECONDS,GAME THEORY,JOE ROGAN PODCAST
27,CHURROS,HAKUNA MUTATA,TOP CHEF,FOURIER TRANSFORM,HANOI
28,ANGKOR WAT,MONOPOLY,SHOEBILL,"ANALOGUE, DIGITAL",EDWARD ELRIC
29,SEE BOTH SIDES LIKE CHANEL,"DRUM, PIANO, BASS",ISIBINDI,FIRST NATIONAL BANK,BILLIE JEAN
30,MECHANICAL KEYBOARD,BUFFALO SPRINGFIELD,"KNIFE, FORK, SPOON",EGOLI,GOOD MYTHICAL MORNING
31,DALTJIES,ISMAËL LÔ,EGGNOG,VUVUZELA,SILENCE OF LAMBS
32,RINGO STAR,KABUL,NELLY FURTADO,BEST OF BOTH WORLDS,TATJANA SMITH
34,MAGNA CARTA,TABLE MOUNTAIN DASSIE,KAYTRANADA,MARKIPLIER,LILLY SINGH
35,LED ZEPPLIN,BRIDGET JONES'S DIARY,SANDMAN,EINA,HIDDEN LEAF VILLAGE
36,BURGER'S DAUGHTER ,KISS ME THRU PHONE,PRINCESS MONONOKE,CHESS,POTJIEKOS
38,PEDRO'S,RORONOA ZORO,AMERICAN IDOL,PINK STERI STUMPIE,HAWKER
39,HENRY FORD,SCRABBLE,CLUEDO,WATERMELON SUGAR HIGH,BEAUTIFUL GIRL
40,NELSON MANDELA,OKE,DISTRICT 9,EYE OF TIGER,TRIVIAL PURSUIT
41,QUAGGA,REAL HOUSEWIVES,KAL HO NAA HO,EISH,NIK NAKS
45,GODS MUST BE CRAZY,TWILIGHT ZONE,WOLFGANG AMADEUS MOZART,ERICAS,GUY FAWKES DAY
46,SOPRANOS,NICKY OPPENHEIMER,PAP,INDUSTRIAL REVOLUTION,MONKEY POX
47,OOPS!... I DID IT AGAIN,MAMPARA,LIOUS ARMSTRONG,FORMULA E,THERESA MAY
48,PAUL BROTHERS,NIGHT IN TUNISIA,FENUGREEK,FIFA 2010 WORLD CUP,JOHNSON & JOHNSON
49,GREAT WALL OF CHINA,PAD THAI,THE ELDER SCROLLS V,HIGGS BOSON,"NOTES, CHORDS, SCALES"
50,COCA-COLA COMPANY,DRAGON PRINCE,SAUDI ARAMCO,GOHAN,PROJECT RUNWAY
51,JOHNNY CLEGG,KINSHASA,KAP TOL,BLACK MIRROR,SPIKE SPIEGEL
53,BOET,FAHRENHEIT 9/11 ,NO WOMAN BY NO CRY,PAC-MAN,ALTERED CARBON
