Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
YELLOW SUBMARINE,CRYPTOGRAPHY,STREET FIGHTER ,PRISON BREAK,RISK,9.0,9.0,9.0,9.0,9.0
STERI STUMPIE,BP,MUTI,MAD MEN,THE OKTOBERFEST,9.0,9.0,9.0,9.0,9.0
SARAFINA,SAFFRON,CHRIS HANI,COLDPLAY,IMAM HARON,9.0,9.0,9.0,9.0,9.0
SYDNEY OPERA HOUSE,SEINFELD,DRAGON PRINCE,PATRICE MOTSEPE,HIGH SCHOOL MUSICAL 3,9.0,9.0,9.0,9.0,9.0
PAUL KAGAME,LET IT BURN,ROCKY AUR RANI KI PREM KAHANI,BILLIE JEAN KING,TAMAGOTCHI,9.0,9.0,9.0,9.0,9.0
MARK RUFFALO,PAIN AND GLORY,*KNITTING*,ZENDAYA,VASELINE,9.0,9.0,9.0,9.0,9.0
ROBSON WALTON,TATJANA SMITH,PAC-MAN,MET EISH BRA,KOMBI,9.0,9.0,9.0,9.0,9.0
*MEXICAN WAVE*,TSOTSI,*CLIMBING*,POTATO WARRAS,GEM SQUASH,9.0,9.0,9.0,9.0,9.0
JUST KEEP SWIMING,PUMPED UP KICKS ,HAPPY BIRTHDAY TO YOU,ONE-PUNCH MAN,CHALTE CHALTE,9.0,9.0,9.0,9.0,9.0
BOXING DAY,TOKOLOSHE,BOONDOCKS,GODFATHER,IN THE 18 AREA,9.0,9.0,9.0,9.0,9.0
DEVIL WEARS PRADA ,NEW YORK,WHAT THE FRIKKADEL,GUY FAWKES DAY,NATIONAL WOMEN'S DAY,9.0,9.0,9.0,9.0,9.0
HONDA,ALTERED CARBON,NOKIA ,DALA WHAT YOU MUST,DURBAN JULY,9.0,9.0,9.0,9.0,9.0
RYAN HIGA,FEAR FACTOR,WATERMELON SUGAR HIGH,FOUR CORNERS,MCDONALD'S,9.0,9.0,9.0,9.0,9.0
EGG FRIED RICE,NKOSI,FRUIT CAKE,MAKE THE CIRCLE BIGGER,JULIA ROBERTS,9.0,9.0,9.0,9.0,9.0
BARBECUE,PIKACHU,LIONEL MESSI,METAL GEAR SOLID,FARGO,9.0,9.0,9.0,9.0,9.0
VOETSTOOTS,INVICTUS,HILARY DUFF,PRESSURE COOKER,FIGHT CLUB,9.0,9.0,9.0,9.0,9.0
SMOSH,BENNI MCCARTHY,BOKKE,KANYE WEST,DJANGO UNCHAINED,9.0,9.0,9.0,9.0,9.0
CHESS BOXING,SEE BOTH SIDES LIKE CHANEL,FETA,BLUE CHEESE,BASTILLE DAY,9.0,9.0,9.0,9.0,9.0
DAISIES,TOYOTA,"EARTH, WIND AND FIRE",GULF WAR,YASIS,9.0,9.0,9.0,9.0,9.0
1 2 STEP,LEBRON JAMES,COMMONWEALTH GAMES,SCHABIR SHAIK,AR GLASSES,9.0,9.0,9.0,9.0,9.0
CAPITEC,DANNY K,WAR AND PEACE,OCEAN BASKET,AMISH,9.0,9.0,9.0,9.0,9.0
CASEY NEISTAT,YOU MUSTN'T PUSH!,THUNEE,WINSTON CHURCHILL,KANTO EARTHQUAKE,9.0,9.0,9.0,9.0,9.0
MEMORIAL DAY,MEXICO,BURNING MAN,SEX PISTOLS,KEEPING UP WITH KARDASHIANS,9.0,9.0,9.0,9.0,9.0
RAINFOREST,KAYTRANADA,TAKKIES,THE WIRE,BORIS JOHNSON,9.0,9.0,9.0,9.0,9.0
AUDREY HEPBURN,THE INCREDIBLES,MOPARKS,JOHNNY CLEGG,BEAUTIFUL GIRL,9.0,9.0,9.0,9.0,9.0
