Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
1,2,3,4,5,1,2,3,4,5
NEWTON'S SECOND LAW,NEW YEAR’S DAY,BRYAN HABANA,UNTAMED,EYEDRESS,9.0,9.0,9.0,9.0,9.0
CHROMOSOME,MONKEY POX,NORTHERN LIGHTS,COST AN ARM AND A LEG,OTP,9.0,9.0,9.0,9.0,9.0
MANATEE,SCARLETT JOHANSSON,ADAM DRIVER,BOBOTIE,MOCHA,9.0,9.0,9.0,9.0,9.0
TREATY OF VERSAILLES,FRACTIONS,MOTHERBOARD,BUCHU,ISAAC NEWTON,9.0,9.0,9.0,9.0,9.0
KRYPTON,WAKANDA,SON GOKU,GBV,XI JINPING,9.0,9.0,9.0,9.0,9.0
ALGORITHM,UNITED KINGDOM,JENNA MARBLES,VENUS,BROMINE,9.0,9.0,9.0,9.0,9.0
SPAIN,DONALD DUCK,FREAKONOMICS,BRUCE LEE,QUEER EYE FOR THE STRAIGHT GUY,9.0,9.0,9.0,9.0,9.0
"WOOF, WOOF, WOOF",HONEY BADGER,FAULT IN OUR STARS,UZUMAKI NARUTO,LIMPOPO,9.0,9.0,9.0,9.0,9.0
SEBASTIAN VETTEL,FRENCH REVOLUTION,MADRID,PHILOSOPHY,TRENCH TOWN,9.0,9.0,9.0,9.0,9.0
CHRIS EVANS,SIMPSONS,SAN SALVADOR,DAILY SUN,HENDRICK VERWOERD,9.0,9.0,9.0,9.0,9.0
LUCKY DUBE,CIRCUIT,EDINBURGH,SHURE,THOMAS EDISON,9.0,9.0,9.0,9.0,9.0
2-FACTOR AUTHENTICATION,LIGER,SNOW LEOPARD,PINA COLADA,SOCIOLOGY,9.0,9.0,9.0,9.0,9.0
WHITE RUSSIAN,BURGER'S DAUGHTER ,ZINC,LAGOON,GLACIER,9.0,9.0,9.0,9.0,9.0
MECHANICAL KEYBOARD,INDONESIA,OZZY OSBOURNE,CHEESE-ROLLING,PAKISTAN,9.0,9.0,9.0,9.0,9.0
SHENZHEN,CHEVRON ,CANOEING,VIETNAM,SOCCER,9.0,9.0,9.0,9.0,9.0
KABUL,AUSTRALIA,LOUIS VUITTON,RAY BROWN,"READY, SET, GO",9.0,9.0,9.0,9.0,9.0
LIKE A G6,"[DRUM, PIANO, BASS]","LIONS, TIGERS, BEARS, OH MY!",SMILEY,"[MORNING, AFTERNOON, NIGHT]",9.0,9.0,9.0,9.0,9.0
GRAHAMSTOWN,TARZAN AND JANE,AWKWAFINA,JIMI HENDRIX,SERGIO MENDEZ,9.0,9.0,9.0,9.0,9.0
GONE WITH THE WIND,SUPERMAN,VICTORIA FALLS,WOLFGANG AMADEUS MOZART,DOUBLE HOTDOG,9.0,9.0,9.0,9.0,9.0
SAXOPHONE,BOMPI,CATAN,HOLOGRAM,DEVOPS,9.0,9.0,9.0,9.0,9.0
HENRY FORD,SELFIE STICK,CALABASH,DA VINCI CODE,CINDERELLA MAN,9.0,9.0,9.0,9.0,9.0
NAKED INSURANCE,ORIGIN OF SPECIES,SOCRATES,MIKE TYSON,THERESA MAY,9.0,9.0,9.0,9.0,9.0
THE MOON LANDING,LIZZIE MAGIE,TUTANKHAMEN,MICROSOFT TEAMS,I WANT TO BREAK FREE,9.0,9.0,9.0,9.0,9.0
BAD BUNNY,AMERICAN CIVIL WAR,FORMULA E,NITROGEN,LEMUR,9.0,9.0,9.0,9.0,9.0
ALBARAKA BANK,TYMEBANK,BUENOS AIRES,CHINA FLOODS,RHODES MUST FALL,9.0,9.0,9.0,9.0,9.0
JOE BARBER,CARNIVORE,SAUDI ARABIA,DIARY OF A WIMPY KID,STERLING GOLDEN,9.0,9.0,9.0,9.0,9.0
CHAPPIES,KAIZER CHIEFS,MAINE COON,CLOCKWORK PRINCESS,OLD MUTUAL,9.0,9.0,9.0,9.0,9.0
GAUSSIAN DISTRIBUTION,LUNAR NEW YEAR,BREXIT,MEXICO CITY,EPSTEIN ISLAND,9.0,9.0,9.0,9.0,9.0
TOM YUM SOUP,BRONZE,POTJIEKOS,TENNIS,POLYMER,9.0,9.0,9.0,9.0,9.0
THE GIRL ON THE TRAIN,THE SCORPIONS,CHRIST THE REDEEMER,GRAÇA MACHEL,JOHN SMIT,9.0,9.0,9.0,9.0,9.0
JEAN-MICHEL BASQUIAT,TRACK AND FIELD,PILLOW FIGHTING,SANDMAN,UFO,9.0,9.0,9.0,9.0,9.0
WILLIAM SMITH,SASHIMI,BUTTERNUT SOUP,DOWN SECOND AVENUE,STEVE BIKO,9.0,9.0,9.0,9.0,9.0
MKBHD,LAST CHRISTMAS,GALILEO GALILEI,BLACK BEAUTY,MOSCOW,9.0,9.0,9.0,9.0,9.0
CIABATTA,EULER'S IDENTITY,EGYPT,"HOOK, LINE, SINKER",ART BLAKEY,9.0,9.0,9.0,9.0,9.0
OCELOT,SHINING,STONE COLD STEVE AUSTIN,FIFTY SHADES OF GREY,FREE STATE,9.0,9.0,9.0,9.0,9.0
SYNCHRONIZED SWIMMING,WALRUS,LORD OF THE FLIES,INTERNATIONAL WOMEN'S DAY,"ORANJE, BLANJE, BLOU",9.0,9.0,9.0,9.0,9.0
ELECTROMAGNETISM,KING CONE,LET THE CAT OUT OF THE BAG ,VICTORIA BECKHAM,RINGO STARR,9.0,9.0,9.0,9.0,9.0
QUEENSTOWN,PARKOUR,JAMIE OLIVER,COMPLEX NUMBERS,"[EARTH, WIND, FIRE, WATER]",9.0,9.0,9.0,9.0,9.0
THERMODYNAMICS,CHILLI POPPER,BMW,SINKHOLE,SWITZERLAND,9.0,9.0,9.0,9.0,9.0
ULTIMATE FRISBEE,JACK AND THE BEANSTALK,BANTU LAND ACT,GONDOLA,REDBULL,9.0,9.0,9.0,9.0,9.0
LISBON,DRIFTWOOD,HUNGER GAMES,FINAL FANTASY,SILVERFISH,9.0,9.0,9.0,9.0,9.0
CARBON,COBALT,MONEX,LORD OF THE RINGS,WHISKEY SOUR,9.0,9.0,9.0,9.0,9.0
KENYA,THE LION KING,VACCINE,CAPE VERDE,MAGNA CARTA,9.0,9.0,9.0,9.0,9.0
WAYDE VAN NIEKERK,ALCHEMIST,HANDBALL,GABORONE,FREEDOM CHARTER,9.0,9.0,9.0,9.0,9.0
BETHLEHEM,MACBETH,TITANIC,"BLACK SKIN, WHITE MASKS",HEINZ WINCKLER,9.0,9.0,9.0,9.0,9.0
PEWDIEPIE,ANTIBIOTICS,ANTARCTICA,P. W. BOTHA,"[SKY, CLOUD, RAIN]",9.0,9.0,9.0,9.0,9.0
FW DE KLERK,SUEZ CANAL,PHOTOSYNTHESIS,THE SUBTLE ART OF NOT GIVING A F*CK,ATHLONE,9.0,9.0,9.0,9.0,9.0
CAPE ALOE,RONDA ROUSEY,SAVANNA,GREAT EXPECTATIONS,"GET LOW, GET LOW",9.0,9.0,9.0,9.0,9.0
LEBONON,FAHRENHEIT 451,ELLA FITZGERALD,HYPOTHESIS,MULTIPLICATION,9.0,9.0,9.0,9.0,9.0
PEPSI,JPMORGAN,NANOTECHNOLOGY,TURKEY,MONTENEGRO,9.0,9.0,9.0,9.0,9.0
SPACE RACE,TOGO,IT'S TOO LATE TO APOLOGIZE,HOʻOPONOPONO,SLUMDOG MILLIONAIRE,9.0,9.0,9.0,9.0,9.0
SAM SMITH,FABLE,ACKERMANS,METAPHOR,FRANKLIN D. ROOSEVELT,9.0,9.0,9.0,9.0,9.0
DRI BUDDI,HYDROGEN,CORSAIR,ALPHABET,IBUPROFEN,9.0,9.0,9.0,9.0,9.0
SECTION 33,WILL SMITH,OXIDATION,NEIL ARMSTRONG,WEASEL,9.0,9.0,9.0,9.0,9.0
FORBIDDEN CITY,FLINT,BREAKING THE ICE,MUHAMMAD ALI,ANTHROPOLOGY,8.0,8.0,8.0,8.0,8.0
NIK NAKS,JOHNSON & JOHNSON,BERLIN WALL,THE GREAT TREK ,IKIGAI,8.0,8.0,8.0,8.0,8.0
