1,2,3,4,5
PEKING DUCK,PENICILLIN,WORLD WAR II,MIRIAM MAKEBA,DAILY SUN
FIGHT CLUB,FIELA SE KIND,"BLACK SKIN, WHITE MASKS",JUFFROU IS 'N MONSTER,VIRAT KOHLI
GOLDEN RATIO,FAULT IN OUR STARS,MELKTERT,MEMORIAL DAY,BRONZE
ALCHEMY,KENYA,BLOCKCHAIN,V&A WATERFRONT,UFO
YOUTH DAY,CHROMOSOME,EMBRYO,XENOPHOBIA,COMOROS
ANTARCTICA,BILLIE JEAN,"SUGAR, SPICE AND EVERYTHING NICE",BAFANA BAFANA,HERITAGE DAY 
I WANT TO BREAK FREE,BOBCAT,SASOL,THE COMMONWEALTH GAMES,EGG FRIED RICE
FRESHLYGROUND,"ORANJE, BLANJE, BLOU",DALA WHAT YOU MUST,AMERICAN CIVIL WAR,LEMUR
ISRAEL,CAPE ALOE,FREE STATE,PRAYING MANTIS,MONTENEGRO
LOUIS VUITTON,OPPIKOPPI,INTERNET OF THINGS,BOHEMIAN RHAPSODY,JACK ROOSEVELT ROBINSON
AXOLOTL,DOCSIDE,OBELISK,CANOEING,QUANTUM COMPUTING
GONDOLA,BASTILLE DAY,CAPE PROTEA,FIRSTRAND,THAILAND
OCELOT,GLOBAL WARMING,SPAIN,SOVIET UNION,PRAGUE
AYE-AYE,TAJ MAHAL,RIO CARNIVAL,HOPSCOTCH,SADDAM HUSSEIN
AL CAPONE,LORD OF THE RINGS,HEIDI,SAN SALVADOR,GONE WITH THE WIND
THE MARTIAN,DURBAN JULY,MICHAEL JORDAN,CONSTELLATION,WHATSAPP
SHANE DAWSON,"FATHER, SON, HOLY SPIRIT",MUHAMMAD ALI,RIVONIA TRIAL,CHILE
DAY OF THE DEAD,CHICKEN KEBAB,CHRIS EVANS,KANGAROO,OZZY OSBOURNE
LORD OF THE FLIES,JEAN-MICHEL BASQUIAT,LIGHTHOUSE,COST AN ARM AND A LEG,CHARLOTTE’S WEB
CHLOROPHYLL,INDIA,PALAU,MOTHER TERESA,SELFIE STICK
SEOUL,POLYMER,LAST CHRISTMAS,KANYE WEST,THE GIRL ON THE TRAIN
HONEY BADGER,JPMORGAN,LAGOON,HIT THE NAIL ON THE HEAD,HADEDAS
EUPHORIA,EULER'S IDENTITY,LIZZIE MAGIE,PHO,RAMADAN
BREAKING THE ICE,FABLE,POCONO MOUNTAINS,PSYCHO,STAR-NOSED MOLE
HENDRICK VERWOERD,PHILADELPHIA,SHINING,PEPSI,ZINEDINE ZIDANE
KAT AND THE KINGS,TWISTER,DENZEL WASHINGTON,WILL SMITH,MACBETH
PILLARS OF EARTH,TOKOLOSHI,HIPPOPOTAMUS,ITALY,THE LION KING
PRINCESS MONONOKE,INTERNATIONAL WOMEN'S DAY,SANDMAN,TOMORROWLAND,LONDON
INGRID BERGMAN,LUCKY DUBE,THERMODYNAMICS,LIBERATION DAY,WINNIE MANDELA
AMERICAN IDOL,MOTHERBOARD,NATALIE PORTMAN,JAKE WHITE,STARLINK
