1,2,3,4,5
"[GLUE, TAPE, STAPLER]",BASSEM YOUSSEF,XENOPHOBIA,46664,RACCOON
"[EARTH, WIND, FIRE, WATER]",RAY BROWN,FRANCOIS PIENAAR,MICHAEL JORDAN,CAIRO
"[CUT, COPY, PASTE]",EK WIL HUIS TOE GAAN,MECHANICAL KEYBOARD,WEASEL,NARNIA
"[WHATSAPP, FACEBOOK, INSTAGRAM]",SERGIO MENDEZ,FAHRENHEIT 451,ELLA FITZGERALD,BROMINE
"[SKY, CLOUD, RAIN]",SOCIOLOGY,MOTHER'S DAY,YOUTH DAY,ROOSTERKOEK
"[RED, GREEN, YELLOW]",VALLEY OF THE END,"WHAT IS LOVE, BABY DON'T HURT ME",TRACK AND FIELD,THE MOON LANDING
"[SWIM, JOG, CYCLE]",MAKE THE CIRCLE BIGGER,HOLOCAUST,JAMIE OLIVER,SHAQUILLE O'NEAL
"[NOTES, CHORDS, SCALES]",HADEDAS,WE ARE THE CHAMPIONS,TWISTER,SADDAM HUSSEIN
"[MORNING, AFTERNOON, NIGHT]",NEWTON'S SECOND LAW,UZUMAKI NARUTO,CHROMOSOME,PRINCE WILLIAM
"[ONION, GARLIC, GINGER]",ISRAEL,VIVIEN LEIGH,PILLARS OF EARTH,KOBE BRYANT
"[BREAKFAST, LUNCH, DINNER]",BUFFALO SPRINGFIELD,MARIAH CAREY,JÄGERBOMB,BLACK PANTHER
"[SHIRT, PANTS, JACKET]",PYRAMIDS OF GIZA,ANGLO-ZULU WAR,INTERNATIONAL WOMEN'S DAY,GRAND CANYON
"[MOUTH, EYES, NOSE]",KURT COBAIN,MARIKANA MASSACRE,KABHI KUSHI KABHI GHAM,PEKING DUCK
"[FORK, SPOON, KNIFE]",SECTION 33,DENZEL WASHINGTON,ZINEDINE ZIDANE,WILLIAM SMITH
"[PROTON, NEUTRON, ELECTRON]",ARDUINO,KAIZER CHIEFS,MOTHERWELL,NAKED INSURANCE
"[CIRCLE, SQUARE, TRIANGLE]",TITANIC,THABO MBEKI,TOKYO,BARAKAT
"[PARK, NEUTRAL, DRIVE]",STARLINK,AGAPANTHUS,JENNA MARBLES,UNITED KINGDOM
"[DRUM, PIANO, BASS]",GBV,BARBIE AND KEN,LIGER,THE DA
