1,2,3,4,5
COLOSSEUM,FAHRENHEIT 451,DE ORANJES,GUY FAWKES ,ISRAEL
MARTIN LUTHER KING JR. DAY,JULY'S PEOPLE ,MOTHERWELL,LAOS,TUTANKHAMEN
LORD OF THE FLIES,FREEDOM DAY,THE MIDNIGHT LIBRARY,JOHNSON & JOHNSON,PRINCE WILLIAM
CHILE,HURRICANE KATRINA,FERNANDO ALONSO,KUDU,ALL THE SINGLE LADIES
I HAVE A DREAM,GEOMETRY,FRANCOIS PIENAAR,SLASH,GAME THEORY
MARLON BRANDO,THE TAJ MAHAL,THE GREAT TREK ,BETHLEHEM,KHABIB NURMAGOMEDOV
THE SUPER BOWL,ARCEUS,ALPACA,AK-47,SPAIN
BACKSTAGE,ORODRUIN,GREECE,MAGNA CARTA,YOUNGSTACPT
SUPERMAN,LEMUR,ELECTRIC DAISY CARNIVAL,5TH GENERATION,THE LAST AIRBENDER
ANGLO-ZULU WAR,PELOPONNESIAN WAR,GBV,RHODES MUST FALL,BRONZE
MOTHER'S DAY,HIDDEN LEAF VILLAGE,BERN,SWITZERLAND,CARBON
FREEDOM CHARTER,HIPPOPOTAMUS,"GET LOW, GET LOW",PEARL HARBOUR,GERMANY
"QUACK, QUACK, QUACK",EUPHORIA,PARKOUR,FRAPPUCCINO,JUFFROU IS 'N MONSTER
SISTINE CHAPEL,AGAPANTHUS,MARTINA NAVRATILOVA,NEW YEAR’S DAY,JPMORGAN
TOKOLOSHI,BMW,DAISIES,IPHONE SE,MOTHERBOARD
SECTION 33,LIZZIE MAGIE,UNITED STATES,GOULASH,KOOS BEKKER
TO KILL A MOCKINGBIRD,MICHAEL BUBLE,US ROUTE 66,DOWN SECOND AVENUE,MONEX
GOGO,NAPOLEONIC WARS,TONGA,ATHENS,MANCHESTER
