Card,Row,Word,Tag 1,Colour,Difficulty,Length,Difficulty_total
1,1,BLONDIE,People and Characters,1,2.0,7.0,8.0
1,5,NETHERLANDS,Geography,1,2.0,11.0,8.0
1,4,SHREK 3,Movies,1,1.0,7.0,8.0
1,3,DAVID KRAMER,People and Characters,1,2.0,12.0,8.0
1,2,GOHAN,People and Characters,1,1.0,5.0,8.0
2,1,FELA IN VERSACE,Music,1,2.0,15.0,7.0
2,5,CLICKS,Companies,1,1.0,6.0,7.0
2,2,*SURFING*,Actions,1,1.0,9.0,7.0
2,3,PICKLEBALL,Sports,1,2.0,10.0,7.0
2,4,KOBE BRYANT,People and Characters,1,1.0,11.0,7.0
3,4,"NO WOMAN, NO CRY",Music,1,2.0,16.0,8.0
3,3,ARMADILLO,Animals,1,2.0,9.0,8.0
3,5,LEKKER,Culture,1,1.0,6.0,8.0
3,2,ONE PIECE,TV Show,1,2.0,9.0,8.0
3,1,BIG BROTHER,TV Show,1,1.0,11.0,8.0
5,1,DURBAN,Geography,1,1.0,6.0,8.0
5,2,VUVUZELA,Culture,1,1.0,8.0,8.0
5,3,HERMANUS WHALE FESTIVAL,Events,1,2.0,23.0,8.0
5,5,SKY NEWS,TV Show,1,1.0,8.0,8.0
5,4,OPPIKOPPI,Events,1,3.0,9.0,8.0
6,4,MTN,Companies,1,1.0,3.0,7.0
6,1,MRS BALL'S,Food and Drink,1,1.0,10.0,7.0
6,3,"YOU ARE MY FIRE, MY ONE DESIRE",Music,1,2.0,30.0,7.0
6,2,*SWEEPING*,Actions,1,1.0,10.0,7.0
6,5,AMERICAN PSYCHO,Movies,1,2.0,15.0,7.0
7,2,BEN 10,TV Show,1,1.0,6.0,9.0
7,3,STOKVEL,Culture,1,2.0,7.0,9.0
7,1,PARTY IN THE USA,Music,1,2.0,16.0,9.0
7,4,EGOLI,Geography,1,2.0,5.0,9.0
7,5,STRANGER THINGS,TV Show,1,2.0,15.0,9.0
8,3,CHEERS,Language and Literature ,1,1.0,6.0,7.0
8,4,BILLIE JEAN,Music,1,1.0,11.0,7.0
8,5,PEPPERMINT CRISP,Food and Drink,1,2.0,16.0,7.0
8,1,THE LITTLE MERMAID,Movies,1,1.0,18.0,7.0
8,2,DEMON SLAYER,TV Show,1,2.0,12.0,7.0
9,1,VALENTINE'S DAY,Events,1,1.0,15.0,7.0
9,2,CHRISTOPHER NOLAN,People and Characters,1,2.0,17.0,7.0
9,4,DESMOND TUTU,People and Characters,1,2.0,12.0,7.0
9,5,SELLOTAPE,Things,1,1.0,9.0,7.0
9,3,SANLAM,Companies,1,1.0,6.0,7.0
10,4,AB DE VILLIERS,People and Characters,1,2.0,14.0,9.0
10,3,TREVOR NOAH,People and Characters,1,1.0,11.0,9.0
10,2,RYAN REYNOLDS,People and Characters,1,1.0,13.0,9.0
10,1,MARNUS LABUSCHAGNE,People and Characters,1,3.0,18.0,9.0
10,5,Y2K,History,1,2.0,3.0,9.0
12,5,EMPIRE STATE BUILDING,Geography,1,1.0,21.0,9.0
12,4,CRAYFISH CURRY,Food and Drink,1,2.0,14.0,9.0
12,2,AMERICAN IDOL,TV Show,1,1.0,13.0,9.0
